"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,is_weekend,is_holiday,is_peak_morning,is_peak_evening,is_off_peak,road_segment_name,road_class,road_type,segment_latitude,segment_longitude,road_length_km,num_lanes,speed_limit_kmph,has_signal,is_one_way,near_hospital,near_school,near_market,weather_condition,temperature_celsius,humidity_percent,visibility_m,rainfall_mm,wind_speed_kmph,incident_type,incident_active,incident_duration_min,incident_severity,vehicle_density_pct,vehicle_count,trucks_count,two_wheelers_count,cars_count,autos_count,buses_count,ambulances_count,avg_speed_kmph,max_speed_kmph,min_speed_kmph,speed_std_dev,travel_time_min,free_flow_travel_time,delay_minutes,delay_index,queue_length_m,occupancy_rate,headway_seconds,flow_rate_veh_per_hr,saturation_flow_ratio,peak_hour_factor,weather_impact_factor,incident_impact_factor,density_lag_1h,density_lag_2h,density_lag_24h,speed_lag_1h,speed_lag_24h,density_rolling_3h_avg,density_rolling_7d_avg,congestion_level,congestion_score,is_congested"
"571,2023-06-21 12:02:00,2023-06-21,12:02,12,2,Wednesday,2,6,2023,25,0,0,0,0,0,Sathuvachari Road,local,tertiary,12.942042,79.175376,3.16,2,40,0,0,0,0,0,Light Rain,39.2,63.0,2000,8.2,5.6,None,0,0,0,12.17,230,17,137,86,27,6,3,32.3,37.0,20.0,12.94,5.87,4.74,1.13,1.238,384.6,0.122,26.96,72,0.106,1.3,0.88,1.0,19.73,0.0,0.0,35.5,24.3,15.11,16.49,Free Flow,0.122,0"
"572,2023-03-11 11:58:00,2023-03-11,11:58,11,58,Saturday,5,3,2023,10,1,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.919455,79.124237,10.97,2,40,0,0,0,0,0,Cloudy,38.1,68.7,3000,0.0,15.1,None,0,0,0,83.49,5495,390,2606,1703,319,303,2,17.2,22.8,8.4,14.65,38.27,16.45,21.82,2.326,9158.9,0.835,9.13,500,0.71,1.4,0.97,1.0,89.21,78.76,84.33,20.5,23.2,88.95,100.18,Gridlock,0.835,1"
"573,2024-07-01 22:38:00,2024-07-01,22:38,22,38,Monday,0,7,2024,27,0,0,0,0,1,Vellore Bus Stand,local,residential,12.927124,79.131491,10.37,1,30,0,0,0,0,1,Clear,25.2,93.8,5000,0.0,26.5,Festival Procession,1,158,1,18.39,572,66,342,130,69,27,0,26.3,29.5,13.7,10.0,23.66,20.74,2.92,1.141,1907.0,0.184,25.4,55,0.177,0.8,1.0,0.5,22.15,31.94,4.82,28.9,18.0,13.43,9.49,Free Flow,0.184,0"
"574,2023-10-13 20:13:00,2023-10-13,20:13,20,13,Friday,4,10,2023,41,0,0,0,0,0,Vellore Bus Stand,local,residential,12.934966,79.132173,8.91,1,30,0,0,0,0,1,Light Rain,40.6,87.3,2000,7.7,21.0,None,0,0,0,58.46,1562,183,854,541,98,90,0,16.1,19.5,9.4,3.94,33.2,17.82,15.38,1.863,5208.8,0.585,15.38,175,0.617,0.8,0.88,1.0,47.38,56.02,51.42,23.0,20.8,50.52,53.38,Moderate,0.585,0"
"575,2023-02-12 04:32:00,2023-02-12,04:32,4,32,Sunday,6,2,2023,6,1,0,0,0,1,Bagayam Road,SH66,primary,12.90843,79.125308,1.58,3,60,1,0,0,0,0,Light Rain,30.0,42.6,2000,3.3,13.7,Festival Procession,1,24,3,4.73,67,6,34,21,4,4,0,51.1,69.5,35.6,3.17,1.86,1.58,0.28,1.177,74.7,0.047,28.82,42,0.048,0.3,0.88,0.5,14.12,23.86,0.0,47.9,59.9,0.0,22.53,Free Flow,0.047,0"
"576,2024-06-27 06:07:00,2024-06-27,06:07,6,7,Thursday,3,6,2024,26,0,0,0,0,0,Vellore Main Bazar,local,tertiary,12.925271,79.118922,11.36,2,40,0,0,0,0,1,Cloudy,24.5,53.6,3000,0.0,24.0,Road Work,1,80,2,7.57,515,74,249,104,28,22,2,36.8,54.7,17.2,14.61,18.52,17.04,1.48,1.087,860.0,0.076,28.11,45,0.069,0.8,0.97,0.65,21.19,22.65,0.0,32.5,34.3,0.63,10.38,Free Flow,0.076,0"
"577,2024-01-06 11:03:00,2024-01-06,11:03,11,3,Saturday,5,1,2024,1,1,0,0,0,0,Gudiyatham Road,SH149,secondary,12.939515,79.178497,3.99,2,50,1,0,0,0,0,Cloudy,29.2,82.0,3000,0.0,18.1,None,0,0,0,58.49,1400,96,622,396,71,82,3,29.6,34.5,11.1,13.0,8.09,4.79,3.3,1.689,2333.8,0.585,15.38,350,0.536,1.4,0.97,1.0,56.51,71.85,37.91,37.1,23.7,64.21,65.11,Moderate,0.585,0"
"578,2024-11-01 17:44:00,2024-11-01,17:44,17,44,Friday,4,11,2024,44,0,0,0,1,0,Jolarpet Road,NH234,primary,12.94143,79.184963,4.19,3,60,1,0,0,0,0,Cloudy,36.1,45.6,3000,0.0,18.5,Accident,1,20,5,50.72,1912,273,821,474,155,132,0,38.5,52.5,20.3,6.94,6.53,4.19,2.34,1.558,2125.2,0.507,17.32,456,0.439,1.9,0.97,0.55,52.51,62.92,70.09,42.0,49.6,46.35,49.16,Moderate,0.507,0"
"579,2024-01-10 21:03:00,2024-01-10,21:03,21,3,Wednesday,2,1,2024,2,0,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.916209,79.120687,4.69,2,40,0,0,0,0,0,Clear,28.2,53.5,5000,0.0,25.5,Festival Procession,1,18,5,28.27,795,79,322,314,60,57,3,32.5,47.7,17.1,5.49,8.66,7.04,1.62,1.23,1325.9,0.283,22.93,169,0.254,0.8,1.0,0.5,26.88,31.74,48.02,37.3,26.9,33.71,44.33,Light,0.283,0"
"580,2023-07-24 11:15:00,2023-07-24,11:15,11,15,Monday,0,7,2023,30,0,0,0,0,0,Jolarpet Road,NH234,primary,12.944269,79.178923,5.52,3,60,1,0,0,0,0,Heavy Rain,34.2,94.5,800,32.4,12.9,None,0,0,0,33.6,1669,234,709,392,131,35,0,30.3,40.3,20.3,14.18,10.93,5.52,5.41,1.98,1854.7,0.336,21.6,302,0.361,0.8,0.65,1.0,27.79,17.1,25.68,34.5,32.6,30.06,51.2,Light,0.336,0"
"581,2024-01-26 12:19:00,2024-01-26,12:19,12,19,Friday,4,1,2024,4,0,1,0,0,0,Vellore Main Bazar,local,tertiary,12.922767,79.120979,10.21,2,40,0,0,0,0,1,Light Rain,27.3,86.9,2000,3.2,29.6,None,0,0,0,100.0,6126,469,2921,2368,481,489,2,11.7,15.9,6.2,5.22,52.36,15.32,37.04,3.418,10210.0,1.0,5.0,600,1.069,1.3,0.88,1.0,113.23,112.66,90.05,8.8,7.1,104.37,82.23,Gridlock,1.0,1"
"582,2024-02-27 07:42:00,2024-02-27,07:42,7,42,Tuesday,1,2,2024,9,0,0,0,0,0,Vellore Main Bazar,local,tertiary,12.928709,79.122257,9.36,2,40,0,0,0,0,1,Clear,28.1,92.9,5000,0.0,10.7,Accident,1,146,2,25.71,1443,92,611,394,151,36,2,33.1,40.6,12.7,12.6,16.97,14.04,2.93,1.209,2406.5,0.257,23.57,154,0.256,0.8,1.0,0.55,32.88,12.76,45.17,33.2,32.2,21.05,32.92,Light,0.257,0"
"583,2023-02-19 03:31:00,2023-02-19,03:31,3,31,Sunday,6,2,2023,7,1,0,0,0,1,Vellore Bus Stand,local,residential,12.928814,79.13382,2.73,1,30,0,0,0,1,1,Clear,41.4,87.8,5000,0.0,27.1,Road Work,1,145,4,7.96,65,6,33,18,5,2,3,28.4,31.3,11.7,2.81,5.77,5.46,0.31,1.057,217.3,0.08,28.01,23,0.083,0.3,1.0,0.65,20.71,13.13,0.82,22.8,26.9,8.7,0.0,Free Flow,0.08,0"
"584,2023-11-30 20:33:00,2023-11-30,20:33,20,33,Thursday,3,11,2023,48,0,0,0,0,0,Poonai Road,local,tertiary,12.93158,79.152892,8.07,2,40,0,0,0,0,0,Light Rain,24.8,41.4,2000,2.4,19.9,None,0,0,0,16.45,796,115,337,163,63,62,0,31.3,44.1,12.1,7.17,15.47,12.11,3.36,1.277,1327.5,0.164,25.89,98,0.171,0.8,0.88,1.0,22.27,16.23,0.0,23.9,22.2,14.01,10.28,Free Flow,0.164,0"
"585,2024-06-14 12:11:00,2024-06-14,12:11,12,11,Friday,4,6,2024,24,0,0,0,0,0,Gandhi Nagar Road,local,tertiary,12.938961,79.120778,10.92,2,40,0,0,0,0,0,Clear,24.5,75.5,5000,0.0,18.5,None,0,0,0,60.25,3947,523,2257,1328,556,114,1,23.9,32.4,14.5,7.76,27.41,16.38,11.03,1.673,6579.3,0.603,14.94,361,0.608,1.3,1.0,1.0,50.95,61.14,65.65,15.9,20.6,59.72,67.99,Heavy,0.603,1"
"586,2023-12-29 07:08:00,2023-12-29,07:08,7,8,Friday,4,12,2023,52,0,0,0,0,0,Vellore-Chennai NH,NH48,motorway,12.893312,79.121391,3.11,4,100,0,1,0,0,0,Cloudy,31.7,67.9,3000,0.0,11.7,VIP Movement,1,33,4,36.34,1356,174,575,408,89,96,3,73.5,82.0,22.5,3.62,2.54,1.87,0.67,1.358,1130.2,0.363,20.91,436,0.334,0.8,0.97,0.6,31.97,50.15,52.52,74.4,82.9,37.51,38.75,Light,0.363,0"
"587,2024-12-24 02:54:00,2024-12-24,02:54,2,54,Tuesday,1,12,2024,52,0,0,0,0,1,Sankaranpalayam Rd,local,tertiary,12.916383,79.123925,6.17,2,40,0,0,0,1,0,Cloudy,38.3,74.7,3000,0.0,13.3,None,0,0,0,9.71,359,27,154,142,52,28,1,36.3,42.0,13.2,11.26,10.2,9.25,0.95,1.103,599.1,0.097,27.57,58,0.078,0.2,0.97,1.0,0.0,14.01,0.0,30.8,37.7,13.12,19.33,Free Flow,0.097,0"
"588,2024-11-11 21:40:00,2024-11-11,21:40,21,40,Monday,0,11,2024,46,0,0,0,0,0,Gandhi Nagar Road,local,tertiary,12.942679,79.129431,10.39,2,40,0,0,0,1,0,Cloudy,27.2,92.7,3000,0.0,19.7,None,0,0,0,55.55,3462,484,1552,1313,446,168,1,24.4,27.5,13.6,8.91,25.55,15.59,9.96,1.639,5771.6,0.555,16.11,333,0.49,0.8,0.97,1.0,61.06,55.22,35.78,20.2,24.1,51.86,69.82,Moderate,0.555,0"
"589,2023-05-05 20:35:00,2023-05-05,20:35,20,35,Friday,4,5,2023,18,0,0,0,0,0,Sathuvachari Road,local,tertiary,12.935673,79.178645,4.23,2,40,0,0,0,0,0,Light Rain,24.2,76.3,2000,3.0,6.9,None,0,0,0,28.23,716,95,354,195,40,45,3,28.6,32.0,12.2,9.39,8.87,6.35,2.52,1.397,1194.1,0.282,22.94,169,0.294,0.8,0.88,1.0,41.33,34.62,21.64,27.4,33.9,19.67,30.88,Light,0.282,0"
"590,2023-12-04 13:17:00,2023-12-04,13:17,13,17,Monday,0,12,2023,49,0,0,0,0,0,Jolarpet Road,NH234,primary,12.93971,79.180571,0.69,3,60,1,0,0,0,0,Light Rain,40.8,45.0,2000,7.5,5.5,None,0,0,0,29.59,183,17,73,41,13,8,1,42.4,57.9,13.9,13.27,0.98,0.69,0.29,1.42,204.2,0.296,22.6,265,0.281,1.3,0.88,1.0,18.67,36.06,12.07,35.6,35.2,24.46,38.25,Light,0.296,0"
"591,2024-02-18 14:34:00,2024-02-18,14:34,14,34,Sunday,6,2,2024,7,1,0,0,0,0,Thorapadi Road,SH66,secondary,12.923764,79.117132,7.02,2,50,1,0,0,1,0,Fog,32.2,42.0,300,0.0,23.9,None,0,0,0,9.81,413,61,180,118,36,27,3,32.7,48.5,18.9,14.53,12.88,8.42,4.46,1.53,688.7,0.098,27.55,58,0.094,0.9,0.7,1.0,9.06,11.6,2.43,38.2,43.2,18.62,17.21,Free Flow,0.098,0"
"592,2023-07-27 03:38:00,2023-07-27,03:38,3,38,Thursday,3,7,2023,30,0,0,0,0,1,Sathuvachari Road,local,tertiary,12.936917,79.172047,1.55,2,40,0,0,0,1,0,Cloudy,37.9,58.1,3000,0.0,3.6,Breakdown,1,158,1,8.97,83,7,33,22,10,3,2,36.5,48.4,17.6,13.98,2.55,2.33,0.22,1.094,139.0,0.09,27.76,53,0.085,0.2,0.97,0.8,15.3,0.0,5.01,37.5,34.0,5.15,15.59,Free Flow,0.09,0"
"593,2024-05-23 12:19:00,2024-05-23,12:19,12,19,Thursday,3,5,2024,21,0,0,0,0,0,Ranipet Road,NH48,primary,12.882276,79.117406,7.08,3,60,1,0,0,1,0,Clear,34.7,90.8,5000,0.0,25.7,Breakdown,1,61,1,40.48,2579,134,1157,678,185,82,3,43.8,65.3,23.0,10.01,9.7,7.08,2.62,1.37,2866.0,0.405,19.88,364,0.441,1.3,1.0,0.8,38.72,24.88,47.23,46.2,35.1,44.4,29.39,Moderate,0.405,0"
"594,2023-02-20 22:23:00,2023-02-20,22:23,22,23,Monday,0,2,2023,8,0,0,0,0,1,Bagayam Road,SH66,primary,12.904635,79.125064,7.33,3,60,1,0,0,0,0,Cloudy,36.9,49.9,3000,0.0,29.6,None,0,0,0,17.14,1130,152,590,433,126,60,2,51.5,69.3,22.6,5.66,8.54,7.33,1.21,1.165,1256.4,0.171,25.71,154,0.171,0.8,0.97,1.0,9.58,36.03,29.83,57.5,62.1,12.98,6.0,Free Flow,0.171,0"
"595,2023-03-16 09:39:00,2023-03-16,09:39,9,39,Thursday,3,3,2023,11,0,0,1,0,0,VIT University Rd,local,secondary,12.970409,79.144764,1.9,2,50,1,0,0,0,0,Clear,34.2,73.2,5000,0.0,26.3,Accident,1,76,3,30.38,346,17,190,127,41,10,1,39.9,44.7,17.2,7.46,2.86,2.28,0.58,1.254,577.2,0.304,22.41,182,0.298,1.8,1.0,0.55,29.69,47.79,54.8,42.6,40.7,35.79,31.28,Light,0.304,0"
"596,2023-04-13 07:10:00,2023-04-13,07:10,7,10,Thursday,3,4,2023,15,0,0,0,0,0,VIT University Rd,local,secondary,12.967051,79.147287,1.69,2,50,1,0,0,1,0,Clear,24.1,89.2,5000,0.0,9.8,None,0,0,0,49.48,501,70,252,119,56,33,2,33.5,41.4,20.8,3.71,3.03,2.03,1.0,1.493,836.2,0.495,17.63,296,0.511,0.8,1.0,1.0,35.6,29.89,39.57,34.6,41.9,47.11,32.04,Moderate,0.495,0"
"597,2023-08-17 18:03:00,2023-08-17,18:03,18,3,Thursday,3,8,2023,33,0,0,0,1,0,Thorapadi Road,SH66,secondary,12.926838,79.112815,9.96,2,50,1,0,0,0,0,Clear,26.5,80.6,5000,0.0,25.9,None,0,0,0,35.36,2113,217,1096,503,228,121,3,38.2,56.7,19.9,7.59,15.64,11.95,3.69,1.309,3521.9,0.354,21.16,212,0.368,1.9,1.0,1.0,48.04,39.74,57.58,34.4,34.9,31.33,25.73,Light,0.354,0"
"598,2024-02-11 12:14:00,2024-02-11,12:14,12,14,Sunday,6,2,2024,6,1,0,0,0,0,Jolarpet Road,NH234,primary,12.938405,79.179174,1.47,3,60,1,0,0,0,0,Clear,28.0,69.8,5000,0.0,22.2,Festival Procession,1,85,1,53.74,710,96,311,206,48,31,0,38.5,42.6,15.1,7.86,2.29,1.47,0.82,1.558,790.0,0.537,16.56,482,0.523,1.4,1.0,0.5,53.87,61.47,68.79,36.8,46.2,60.36,35.05,Moderate,0.537,0"
"599,2024-12-28 22:57:00,2024-12-28,22:57,22,57,Saturday,5,12,2024,52,1,0,0,0,1,Jolarpet Road,NH234,primary,12.943127,79.179973,2.12,3,60,1,0,0,0,0,Fog,39.5,61.0,300,0.0,1.9,Flooding,1,177,3,4.21,80,5,32,19,6,2,2,40.8,60.3,14.9,12.6,3.12,2.12,1.0,1.472,89.3,0.042,28.95,37,0.041,0.9,0.7,0.4,0.0,0.0,0.0,44.8,46.3,9.29,14.56,Free Flow,0.042,0"
"600,2023-07-25 04:33:00,2023-07-25,04:33,4,33,Tuesday,1,7,2023,30,0,0,0,0,1,Bagayam Road,SH66,primary,12.910415,79.125155,11.93,3,60,1,0,0,0,0,Cloudy,35.2,52.9,3000,0.0,6.9,None,0,0,0,7.78,835,60,376,245,47,51,3,55.2,78.0,24.6,12.61,12.97,11.93,1.04,1.087,928.2,0.078,28.05,69,0.072,0.2,0.97,1.0,5.59,18.82,13.26,52.8,62.7,2.76,17.72,Free Flow,0.078,0"
"601,2023-10-12 20:23:00,2023-10-12,20:23,20,23,Thursday,3,10,2023,41,0,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.916383,79.124776,2.92,2,40,0,0,0,1,0,Light Rain,25.4,89.7,2000,9.2,6.5,None,0,0,0,36.4,637,77,375,144,39,24,0,26.7,39.5,16.5,12.52,6.56,4.38,2.18,1.498,1062.9,0.364,20.9,218,0.378,0.8,0.88,1.0,48.92,17.06,34.11,21.3,18.6,42.34,28.11,Light,0.364,0"
"602,2023-03-01 14:52:00,2023-03-01,14:52,14,52,Wednesday,2,3,2023,9,0,0,0,0,0,Poonai Road,local,tertiary,12.939884,79.158117,10.6,2,40,0,0,0,0,0,Clear,31.4,85.7,5000,0.0,19.1,None,0,0,0,51.78,3293,327,1860,931,369,230,1,26.2,38.5,8.4,6.68,24.27,15.9,8.37,1.526,5488.7,0.518,17.05,310,0.498,0.8,1.0,1.0,52.88,68.6,34.48,29.0,29.3,48.57,66.67,Moderate,0.518,0"
"603,2023-07-04 04:20:00,2023-07-04,04:20,4,20,Tuesday,1,7,2023,27,0,0,0,0,1,CMC Hospital Road,local,secondary,12.925347,79.133571,7.39,2,50,1,0,1,0,0,Clear,38.4,72.2,5000,0.0,28.4,Accident,1,146,4,3.42,151,11,66,47,21,10,0,48.9,56.3,16.4,2.61,9.07,8.87,0.2,1.023,252.7,0.034,29.14,20,0.033,0.2,1.0,0.55,17.4,0.0,13.26,56.6,50.2,9.57,13.13,Free Flow,0.034,0"
"604,2024-11-16 02:29:00,2024-11-16,02:29,2,29,Saturday,5,11,2024,46,1,0,0,0,1,Katpadi Road,SH66,primary,12.933283,79.137125,10.33,3,60,1,0,0,0,0,Cloudy,39.5,66.7,3000,0.0,18.6,None,0,0,0,23.26,2162,162,1018,691,267,159,0,49.2,63.8,18.2,3.85,12.6,10.33,2.27,1.22,2402.8,0.233,24.18,209,0.22,0.3,0.97,1.0,19.89,13.44,9.28,48.5,41.1,20.47,14.83,Light,0.233,0"
"605,2023-04-26 12:11:00,2023-04-26,12:11,12,11,Wednesday,2,4,2023,17,0,1,0,0,0,Gandhi Nagar Road,local,tertiary,12.9439,79.119515,4.83,2,40,0,0,0,0,0,Clear,29.8,84.6,5000,0.0,5.9,VIP Movement,1,59,3,79.25,2296,182,1121,874,119,115,3,18.9,24.6,10.1,6.3,15.33,7.25,8.08,2.114,3827.8,0.792,10.19,475,0.698,1.3,1.0,0.6,64.87,65.9,97.26,20.7,16.0,79.4,73.22,Heavy,0.792,1"
"606,2023-11-17 06:50:00,2023-11-17,06:50,6,50,Friday,4,11,2023,46,0,0,0,0,0,Thorapadi Road,SH66,secondary,12.921592,79.117676,8.34,2,50,1,0,0,0,0,Clear,32.9,74.3,5000,0.0,9.5,None,0,0,0,46.08,2305,168,1007,885,224,156,1,34.6,50.7,18.2,2.23,14.46,10.01,4.45,1.445,3843.1,0.461,18.48,276,0.38,0.8,1.0,1.0,43.06,47.79,28.17,36.3,23.3,43.46,55.09,Moderate,0.461,0"
"607,2023-06-04 18:18:00,2023-06-04,18:18,18,18,Sunday,6,6,2023,22,1,0,0,1,0,Sankaranpalayam Rd,local,tertiary,12.916977,79.127475,1.85,2,40,0,0,0,0,0,Clear,29.8,87.6,5000,0.0,12.1,Road Work,1,20,4,19.45,215,16,114,77,24,6,2,34.8,47.5,23.7,2.56,3.19,2.77,0.42,1.152,359.8,0.195,25.14,116,0.178,1.4,1.0,0.65,14.51,9.82,20.17,37.1,36.0,11.39,7.64,Free Flow,0.195,0"
"608,2023-08-17 20:34:00,2023-08-17,20:34,20,34,Thursday,3,8,2023,33,0,0,0,0,0,Vellore Fort Road,local,secondary,12.94247,79.140089,9.24,2,50,1,0,1,1,0,Cloudy,24.7,55.0,3000,0.0,25.5,None,0,0,0,48.75,2702,160,1528,963,235,102,0,32.7,45.3,16.9,13.31,16.95,11.09,5.86,1.528,4504.5,0.487,17.81,292,0.469,0.8,0.97,1.0,49.82,68.41,38.65,24.8,39.0,40.94,41.82,Moderate,0.487,0"
"609,2024-07-04 01:24:00,2024-07-04,01:24,1,24,Thursday,3,7,2024,27,0,0,0,0,1,Anna Nagar Road,local,residential,12.924477,79.129981,4.06,1,30,0,0,0,0,0,Clear,29.5,47.3,5000,0.0,14.9,None,0,0,0,13.92,169,19,83,61,17,11,3,27.2,36.9,11.2,13.31,8.96,8.12,0.84,1.103,565.2,0.139,26.52,41,0.143,0.2,1.0,1.0,22.17,0.0,10.69,21.3,22.3,7.53,18.34,Free Flow,0.139,0"
"610,2023-05-29 05:04:00,2023-05-29,05:04,5,4,Monday,0,5,2023,22,0,0,0,0,1,Ranipet Road,NH48,primary,12.88097,79.120226,2.72,3,60,1,0,0,0,0,Cloudy,24.3,78.0,3000,0.0,14.6,None,0,0,0,5.62,137,13,78,48,16,3,3,56.0,80.9,26.8,12.73,2.91,2.72,0.19,1.07,152.9,0.056,28.59,50,0.052,0.2,0.97,1.0,8.9,24.69,0.0,59.1,46.3,0.0,13.55,Free Flow,0.056,0"
"611,2024-07-16 00:03:00,2024-07-16,00:03,0,3,Tuesday,1,7,2024,29,0,0,0,0,1,Vellore Fort Road,local,secondary,12.941524,79.135378,3.02,2,50,1,0,1,1,0,Fog,31.8,62.5,300,0.0,4.8,None,0,0,0,8.82,159,13,80,37,9,6,0,32.9,40.5,12.2,5.18,5.51,3.62,1.89,1.522,266.4,0.088,27.8,52,0.085,0.2,0.7,1.0,0.87,17.21,30.59,33.8,24.8,7.18,21.23,Free Flow,0.088,0"
"612,2024-11-06 18:49:00,2024-11-06,18:49,18,49,Wednesday,2,11,2024,45,0,0,0,1,0,Sankaranpalayam Rd,local,tertiary,12.923136,79.128478,7.53,2,40,0,0,0,1,0,Clear,25.1,61.9,5000,0.0,16.7,Flooding,1,127,2,50.71,2291,316,1146,867,268,167,1,26.5,31.4,13.1,13.7,17.05,11.29,5.76,1.51,3818.5,0.507,17.32,304,0.418,1.9,1.0,0.4,45.8,35.27,57.27,27.2,34.0,57.25,46.81,Moderate,0.507,0"
"613,2024-04-10 03:15:00,2024-04-10,03:15,3,15,Wednesday,2,4,2024,15,0,0,0,0,1,Gudiyatham Road,SH149,secondary,12.940258,79.170269,5.49,2,50,1,0,0,0,0,Clear,29.5,82.7,5000,0.0,21.5,None,0,0,0,4.33,142,9,75,52,17,4,1,48.6,62.4,26.2,13.13,6.78,6.59,0.19,1.029,237.7,0.043,28.92,25,0.042,0.2,1.0,1.0,0.0,21.85,16.14,51.8,46.3,12.24,4.05,Free Flow,0.043,0"
"614,2024-10-28 01:27:00,2024-10-28,01:27,1,27,Monday,0,10,2024,44,0,0,0,0,1,Vellore Fort Road,local,secondary,12.946126,79.140463,9.19,2,50,1,0,1,0,0,Clear,37.0,85.4,5000,0.0,7.4,None,0,0,0,16.01,882,50,375,283,128,23,0,44.7,55.5,24.0,9.53,12.34,11.03,1.31,1.119,1471.3,0.16,26.0,95,0.154,0.2,1.0,1.0,8.42,23.72,8.51,44.7,50.3,6.34,24.66,Free Flow,0.16,0"
"615,2024-12-19 12:24:00,2024-12-19,12:24,12,24,Thursday,3,12,2024,51,0,0,0,0,0,Gandhi Nagar Road,local,tertiary,12.942247,79.120442,4.74,2,40,0,0,0,0,0,Fog,41.2,62.0,300,0.0,6.1,None,0,0,0,68.47,1947,217,1009,736,128,77,2,15.2,20.8,8.4,2.12,18.71,7.11,11.6,2.632,3245.5,0.685,12.88,410,0.639,1.3,0.7,1.0,62.41,53.93,86.55,7.6,9.6,67.97,79.06,Heavy,0.685,1"
"616,2024-03-09 18:19:00,2024-03-09,18:19,18,19,Saturday,5,3,2024,10,1,0,0,1,0,Ranipet Road,NH48,primary,12.884753,79.11357,1.22,3,60,1,0,0,0,0,Heavy Rain,31.9,74.0,800,40.3,7.6,None,0,0,0,46.86,514,43,269,161,46,12,1,26.8,38.1,16.6,13.01,2.73,1.22,1.51,2.238,571.7,0.469,18.29,421,0.391,1.4,0.65,1.0,45.72,38.42,44.78,33.9,23.0,44.83,50.12,Moderate,0.469,0"
"617,2023-04-20 12:18:00,2023-04-20,12:18,12,18,Thursday,3,4,2023,16,0,0,0,0,0,Anna Nagar Road,local,residential,12.9291,79.128762,9.43,1,30,0,0,0,0,0,Clear,33.6,54.6,5000,0.0,9.8,None,0,0,0,29.25,827,55,469,328,54,23,3,24.1,26.9,11.1,9.19,23.48,18.86,4.62,1.245,2758.3,0.292,22.69,87,0.313,1.3,1.0,1.0,14.79,31.02,17.78,29.4,20.7,21.34,18.11,Light,0.292,0"
"618,2024-07-06 18:35:00,2024-07-06,18:35,18,35,Saturday,5,7,2024,27,1,0,0,1,0,Anna Nagar Road,local,residential,12.92507,79.12665,2.68,1,30,0,0,0,0,0,Cloudy,36.0,42.3,3000,0.0,25.0,None,0,0,0,68.67,552,68,232,148,81,18,1,15.8,23.2,7.6,6.82,10.18,5.36,4.82,1.899,1840.4,0.687,12.83,205,0.552,1.4,0.97,1.0,53.69,50.51,60.92,14.0,20.1,60.71,84.21,Heavy,0.687,1"
"619,2023-12-31 20:13:00,2023-12-31,20:13,20,13,Sunday,6,12,2023,52,1,0,0,0,0,Thorapadi Road,SH66,secondary,12.921416,79.112583,0.7,2,50,1,0,0,0,0,Light Rain,41.4,59.7,2000,3.6,25.3,None,0,0,0,83.21,349,52,169,109,34,17,0,19.6,26.7,10.0,4.11,2.14,0.84,1.3,2.548,582.5,0.832,9.2,498,0.885,1.4,0.88,1.0,92.32,64.46,89.76,14.9,16.5,86.97,65.11,Gridlock,0.832,1"
"620,2023-10-30 09:16:00,2023-10-30,09:16,9,16,Monday,0,10,2023,44,0,0,1,0,0,VIT University Rd,local,secondary,12.971486,79.151791,2.01,2,50,1,0,0,0,0,Fog,34.7,42.4,300,0.0,11.2,None,0,0,0,100.0,1205,96,491,275,154,32,2,11.7,15.7,5.6,8.21,10.31,2.41,7.9,4.278,2010.0,1.0,5.0,599,0.895,1.8,0.7,1.0,97.76,87.13,121.95,6.6,14.3,96.64,88.62,Gridlock,1.0,1"
"621,2024-03-26 00:16:00,2024-03-26,00:16,0,16,Tuesday,1,3,2024,13,0,0,0,0,1,Sathuvachari Road,local,tertiary,12.937328,79.175171,6.24,2,40,0,0,0,1,0,Light Rain,32.6,61.4,2000,5.9,25.4,Accident,1,93,2,3.67,137,14,63,40,7,3,2,34.3,47.7,13.3,4.16,10.92,9.36,1.56,1.167,229.0,0.037,29.08,21,0.038,0.2,0.88,0.55,15.65,0.0,15.72,32.6,38.1,12.6,20.89,Free Flow,0.037,0"
"622,2024-04-28 07:59:00,2024-04-28,07:59,7,59,Sunday,6,4,2024,17,1,0,0,0,0,CMC Hospital Road,local,secondary,12.928256,79.130964,9.46,2,50,1,0,1,0,0,Light Rain,26.6,93.3,2000,5.5,9.6,Festival Procession,1,79,3,19.88,1128,118,489,357,90,68,2,38.2,44.2,24.6,3.32,14.86,11.35,3.51,1.309,1880.6,0.199,25.03,119,0.166,0.9,0.88,0.5,19.95,19.45,25.63,37.4,27.5,28.2,21.04,Free Flow,0.199,0"
"623,2024-01-07 09:38:00,2024-01-07,09:38,9,38,Sunday,6,1,2024,1,1,0,1,0,0,Katpadi Road,SH66,primary,12.930866,79.135011,1.57,3,60,1,0,0,0,0,Light Rain,32.1,56.9,2000,5.2,15.9,None,0,0,0,45.85,647,80,353,143,83,30,2,36.7,48.9,21.3,14.74,2.57,1.57,1.0,1.637,719.8,0.459,18.54,412,0.43,0.9,0.88,1.0,38.65,59.75,51.0,29.3,30.3,46.06,27.06,Moderate,0.459,0"
