"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,season,is_weekend,is_holiday,shift_label,is_morning_peak,is_evening_peak,is_night,hospital_id,hospital_name,hospital_level,er_capacity,patients_in_er,waiting_count,critical_patients,stable_patients,admitted_this_hour,discharged_this_hour,referred_out_this_hour,walk_in_patients,ambulance_arrivals,pediatric_cases,obstetric_cases,dominant_emergency_type,avg_wait_time_min,max_wait_time_min,avg_treatment_time_min,door_to_doctor_min,triage_duration_min,bed_turnover_rate,doctors_on_duty,nurses_on_duty,paramedics_on_duty,duty_doctor_specialist,defibrillator_operational,ct_scan_operational,xray_operational,lab_tat_min,oxygen_status,blood_units_available,ppe_adequate,temperature_celsius,humidity_percent,weather_condition,rain_impact_multiplier,er_load_ratio,icu_load_ratio,bed_occupancy_ratio,load_lag_1h,load_lag_2h,load_lag_24h,load_lag_7d,load_rolling_3h_avg,load_rolling_7d_avg,load_rolling_24h_std,local_event_nearby,highway_accident_reported,epidemic_alert_active,predicted_load_next_1h,er_load_class_next_1h,will_be_overloaded_next_1h"
"593,2023-08-01 18:00:00,2023-08-01,18:00,18,0,Tuesday,1,8,2023,31,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,3,37,4,12,5,1,0,0,3,Road Accident,136.4,304.9,122.7,8.3,4.2,7.2,7,16,4,1,1,0,1,85.5,Medium,3,1,32.8,46.6,Cloudy,1.0,1.0,0.452,0.782,0.964,1.139,1.063,0.991,1.034,1.036,0.1428,0,0,0,1.148,Overloaded,1"
"594,2023-08-02 19:00:00,2023-08-02,19:00,19,0,Wednesday,2,8,2023,31,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,4,36,2,9,1,13,1,3,2,Road Accident,100.4,299.2,50.9,27.9,13.5,5.4,7,16,6,1,1,1,1,37.0,Medium,20,1,41.9,55.1,Heavy Rain,1.3,1.25,0.854,0.535,1.207,1.283,1.362,1.247,1.247,1.108,0.1101,1,0,0,1.391,Overloaded,1"
"595,2023-08-03 11:00:00,2023-08-03,11:00,11,0,Thursday,3,8,2023,31,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,5,35,7,10,1,14,3,4,2,Road Accident,131.7,339.5,114.9,19.7,10.7,6.0,8,20,2,1,1,1,1,17.8,Full,25,0,38.7,70.7,Rain,1.1,1.1,0.695,0.732,1.102,1.053,1.118,0.89,1.085,1.171,0.0386,1,0,0,0.972,High,0"
"596,2023-08-04 00:00:00,2023-08-04,00:00,0,0,Friday,4,8,2023,31,Monsoon,0,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,18,0,1,17,4,0,0,2,4,3,2,Cardiac Arrest,0.0,0.0,177.6,21.7,2.3,0.0,5,12,4,1,1,1,1,28.4,Full,9,1,38.5,41.3,Cloudy,1.0,0.45,0.494,0.842,0.468,0.418,0.314,0.67,0.445,0.519,0.0454,0,0,0,0.42,Low,0"
"597,2023-08-05 19:00:00,2023-08-05,19:00,19,0,Saturday,5,8,2023,31,Monsoon,1,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,1,39,7,5,5,5,0,10,0,Road Accident,91.6,219.8,52.0,19.6,9.0,3.0,7,16,6,1,1,1,1,16.5,Low,18,1,40.3,89.5,Heavy Rain,1.3,1.25,0.447,0.598,1.247,1.252,1.436,1.279,1.25,1.398,0.1755,0,0,0,1.081,Overloaded,1"
"598,2023-08-06 10:00:00,2023-08-06,10:00,10,0,Sunday,6,8,2023,31,Monsoon,1,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,4,36,10,8,0,4,2,4,2,Respiratory Distress,84.9,188.5,148.1,21.9,12.3,4.8,8,20,5,1,1,1,1,45.2,Low,49,1,29.3,65.0,Cloudy,1.0,1.0,0.784,0.596,0.929,0.944,1.04,0.985,0.958,0.852,0.1054,0,0,1,1.017,Overloaded,1"
"599,2023-08-07 19:00:00,2023-08-07,19:00,19,0,Monday,0,8,2023,32,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,5,35,7,9,2,2,2,7,3,Road Accident,91.9,138.7,146.8,27.5,8.7,5.4,7,16,1,0,1,1,1,33.6,Full,25,1,36.7,71.7,Clear,1.0,1.0,0.638,0.617,0.973,1.143,0.855,0.942,1.039,1.072,0.171,0,0,0,0.955,High,0"
"600,2023-08-08 20:00:00,2023-08-08,20:00,20,0,Tuesday,1,8,2023,32,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,5,35,13,4,0,7,2,7,2,Cardiac Arrest,110.1,203.3,114.0,6.0,10.4,2.4,7,16,2,1,1,1,1,89.1,Full,3,1,25.1,80.7,Clear,1.0,1.0,0.72,0.521,0.929,0.891,1.043,0.919,0.94,1.057,0.1767,0,0,0,1.119,Overloaded,1"
"601,2023-08-09 09:00:00,2023-08-09,09:00,9,0,Wednesday,2,8,2023,32,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,2,38,8,10,4,8,1,4,2,Road Accident,139.7,369.2,27.0,13.7,7.3,6.0,8,20,2,1,1,1,1,36.4,Low,23,1,29.9,68.3,Clear,1.0,1.0,0.696,0.743,1.011,1.039,0.848,1.024,1.017,0.967,0.0835,0,1,0,1.07,Overloaded,1"
"602,2023-08-10 13:00:00,2023-08-10,13:00,13,0,Thursday,3,8,2023,32,Monsoon,0,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,3,37,4,4,4,0,0,7,1,Poisoning,92.1,232.0,91.6,20.1,3.2,2.4,8,20,4,1,1,1,1,82.6,Medium,27,1,31.3,47.2,Rain,1.1,1.1,0.716,0.78,1.16,0.969,1.102,0.864,1.076,1.062,0.0935,0,0,0,1.012,Overloaded,1"
"603,2023-08-11 18:00:00,2023-08-11,18:00,18,0,Friday,4,8,2023,32,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,3,37,8,0,5,9,4,6,3,Road Accident,87.8,258.7,62.3,28.3,13.0,0.0,7,16,4,1,1,1,1,85.4,Medium,21,1,40.5,72.1,Rain,1.1,1.1,0.474,0.615,1.145,0.987,1.273,0.89,1.077,1.143,0.1798,0,0,0,1.137,Overloaded,1"
"604,2023-08-12 17:00:00,2023-08-12,17:00,17,0,Saturday,5,8,2023,32,Monsoon,1,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,4,36,0,5,5,3,1,2,3,Road Accident,96.2,175.0,143.5,21.4,4.7,3.0,7,16,4,0,1,1,1,75.1,Full,11,1,25.6,54.6,Clear,1.0,1.0,0.953,0.658,1.061,0.88,0.874,0.763,0.98,0.958,0.1597,0,0,0,1.021,Overloaded,1"
"605,2023-08-13 14:00:00,2023-08-13,14:00,14,0,Sunday,6,8,2023,32,Monsoon,1,0,Afternoon,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,6,34,5,4,1,3,1,2,2,Unknown/General,93.5,181.4,167.0,8.7,5.9,2.4,7,16,6,0,1,1,1,80.1,Low,33,1,35.7,42.6,Cloudy,1.0,1.0,0.765,0.892,1.037,0.857,0.838,1.094,0.965,0.85,0.1122,0,0,0,0.998,High,0"
"606,2023-08-14 08:00:00,2023-08-14,08:00,8,0,Monday,0,8,2023,33,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,1,39,12,0,3,12,1,2,3,Road Accident,83.1,180.7,110.9,15.6,4.6,0.0,8,20,1,1,1,1,1,24.3,Low,32,1,24.1,85.8,Rain,1.1,1.1,0.42,0.695,1.197,1.014,0.962,1.237,1.104,1.08,0.1879,0,1,0,1.176,Overloaded,1"
"607,2023-08-15 00:00:00,2023-08-15,00:00,0,0,Tuesday,1,8,2023,33,Monsoon,0,1,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,19,0,1,18,0,1,0,5,5,3,3,Cardiac Arrest,0.0,0.0,25.5,12.9,4.2,0.6,5,12,4,1,1,1,1,25.1,Medium,36,1,29.2,80.0,Clear,1.0,0.475,0.905,0.711,0.503,0.562,0.394,0.252,0.513,0.594,0.0572,0,0,0,0.449,Low,0"
"608,2023-08-16 16:00:00,2023-08-16,16:00,16,0,Wednesday,2,8,2023,33,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,2,38,12,12,2,4,4,1,2,Poisoning,139.1,333.6,136.6,22.1,7.6,7.2,7,16,5,1,1,1,1,63.4,Medium,20,0,27.8,68.7,Cloudy,1.0,1.0,0.569,0.844,1.096,1.06,1.028,0.992,1.052,1.022,0.1425,0,0,0,1.04,Overloaded,1"
"609,2023-08-17 09:00:00,2023-08-17,09:00,9,0,Thursday,3,8,2023,33,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,1,39,7,9,2,2,5,7,3,Road Accident,134.4,351.0,36.2,29.7,13.4,5.4,8,20,2,1,1,1,1,81.0,Low,33,1,38.5,44.1,Clear,1.0,1.0,0.583,0.744,0.966,0.936,1.173,0.864,0.967,0.855,0.0593,0,0,0,1.095,Overloaded,1"
"610,2023-08-18 22:00:00,2023-08-18,22:00,22,0,Friday,4,8,2023,33,Monsoon,0,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,33,8,4,29,11,7,0,1,5,1,2,Fracture/Trauma,26.6,62.9,102.1,13.0,6.0,4.2,5,12,6,1,1,1,1,48.8,Low,34,1,35.6,75.7,Clear,1.0,0.825,0.981,0.692,0.791,0.839,0.964,0.609,0.818,0.832,0.158,0,0,0,0.812,High,0"
"611,2023-08-19 08:00:00,2023-08-19,08:00,8,0,Saturday,5,8,2023,33,Monsoon,1,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,6,34,12,3,5,11,3,8,3,Road Accident,102.7,300.6,175.4,11.9,10.7,1.8,8,20,5,1,1,1,1,75.3,Medium,20,1,24.9,69.9,Cloudy,1.0,1.0,0.615,0.742,0.983,0.965,0.853,0.799,0.983,0.947,0.047,0,0,0,1.165,Overloaded,1"
"612,2023-08-20 00:00:00,2023-08-20,00:00,0,0,Sunday,6,8,2023,33,Monsoon,1,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,17,0,1,15,4,3,0,4,4,3,2,Cardiac Arrest,0.0,0.0,145.9,24.6,12.8,1.8,5,12,2,1,1,1,1,19.3,Low,27,0,25.3,61.0,Rain,1.1,0.425,0.865,0.91,0.39,0.321,0.582,0.606,0.379,0.353,0.1695,0,0,0,0.476,Low,0"
"613,2023-08-21 07:00:00,2023-08-21,07:00,7,0,Monday,0,8,2023,34,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,38,16,0,38,9,4,1,0,4,6,0,Road Accident,121.3,331.8,102.0,15.8,8.3,2.4,8,20,5,1,1,0,1,69.8,Full,17,1,33.7,80.5,Cloudy,1.0,0.95,0.492,0.632,0.856,0.983,1.099,1.073,0.93,0.864,0.0657,0,0,1,1.03,Overloaded,1"
"614,2023-08-22 10:00:00,2023-08-22,10:00,10,0,Tuesday,1,8,2023,34,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,3,37,6,5,3,0,1,4,2,Fracture/Trauma,121.7,209.4,98.7,26.5,13.1,3.0,8,20,2,1,1,0,1,63.0,Medium,33,1,41.2,71.5,Clear,1.0,1.0,0.858,0.663,1.078,1.025,1.051,1.024,1.034,0.892,0.0777,0,1,0,1.194,Overloaded,1"
"615,2023-08-23 09:00:00,2023-08-23,09:00,9,0,Wednesday,2,8,2023,34,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,1,39,3,9,5,4,4,5,3,Road Accident,93.6,238.2,93.6,24.8,5.6,5.4,8,20,5,1,1,1,1,86.7,Full,41,1,26.0,57.0,Heavy Rain,1.3,1.25,0.501,0.937,1.298,1.398,1.325,1.361,1.315,1.16,0.0353,0,0,0,1.282,Overloaded,1"
"616,2023-08-24 19:00:00,2023-08-24,19:00,19,0,Thursday,3,8,2023,34,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,1,39,14,6,3,8,1,4,1,Road Accident,80.3,227.2,102.6,25.2,12.7,3.6,7,16,5,0,1,1,1,43.8,Low,35,1,27.3,72.5,Clear,1.0,1.0,0.414,0.706,0.974,1.145,1.012,1.197,1.04,1.079,0.056,0,0,0,1.014,Overloaded,1"
"617,2023-08-25 15:00:00,2023-08-25,15:00,15,0,Friday,4,8,2023,34,Monsoon,0,0,Afternoon,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,4,36,16,9,0,8,2,7,3,Respiratory Distress,142.3,337.4,161.4,22.0,2.9,5.4,7,16,4,1,1,1,0,68.1,Medium,20,1,38.3,93.8,Rain,1.1,1.1,0.715,0.985,1.165,1.212,1.186,1.164,1.159,1.084,0.1793,0,0,1,1.193,Overloaded,1"
"618,2023-08-26 14:00:00,2023-08-26,14:00,14,0,Saturday,5,8,2023,34,Monsoon,1,0,Afternoon,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,3,37,16,1,2,0,1,0,3,Unknown/General,106.5,223.4,71.3,7.1,9.7,0.6,7,16,6,0,1,1,1,89.1,Full,40,1,37.7,74.5,Cloudy,1.0,1.0,0.762,0.81,0.981,1.015,1.002,1.025,0.999,0.983,0.0867,0,0,0,0.922,High,0"
"619,2023-08-27 04:00:00,2023-08-27,04:00,4,0,Sunday,6,8,2023,34,Monsoon,1,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,20,0,2,14,6,4,0,1,3,1,1,Road Accident,0.0,0.0,81.9,19.4,5.0,2.4,5,12,3,1,1,1,1,63.7,Low,42,1,32.8,90.3,Heavy Rain,1.3,0.5,0.662,0.649,0.543,0.605,0.538,0.687,0.549,0.364,0.1834,0,0,0,0.528,Medium,0"
"620,2023-08-28 13:00:00,2023-08-28,13:00,13,0,Monday,0,8,2023,35,Monsoon,0,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,3,37,16,9,3,10,0,5,3,Respiratory Distress,131.6,330.9,145.3,3.9,3.7,5.4,8,20,1,1,1,1,1,48.5,Low,38,1,38.4,64.3,Clear,1.0,1.0,0.843,0.753,1.053,1.102,1.063,1.19,1.052,0.88,0.1509,0,1,0,0.965,High,0"
"621,2023-08-29 16:00:00,2023-08-29,16:00,16,0,Tuesday,1,8,2023,35,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,0,40,2,4,0,12,4,1,0,Cardiac Arrest,81.8,194.2,97.3,14.8,13.3,2.4,7,16,5,1,1,1,1,85.2,Full,9,1,41.6,83.6,Clear,1.0,1.0,0.984,0.894,0.94,1.011,0.978,0.912,0.984,1.075,0.1367,0,0,0,1.137,Overloaded,1"
"622,2023-08-30 15:00:00,2023-08-30,15:00,15,0,Wednesday,2,8,2023,35,Monsoon,0,0,Afternoon,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,2,38,0,12,1,7,5,2,1,Obstetric Emergency,127.7,318.5,87.7,9.3,8.6,7.2,7,16,5,1,1,1,1,31.3,Full,45,0,26.4,57.6,Cloudy,1.0,1.0,0.739,0.543,1.052,1.002,0.883,0.81,1.018,1.025,0.1251,0,0,0,1.024,Overloaded,1"
"623,2023-08-31 07:00:00,2023-08-31,07:00,7,0,Thursday,3,8,2023,35,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,14,2,35,1,6,5,10,4,5,2,Road Accident,68.1,168.6,108.0,27.9,8.3,3.6,8,20,6,1,1,1,1,16.8,Low,7,1,32.4,51.4,Rain,1.1,1.0,0.665,0.665,1.059,1.104,1.084,0.944,1.054,1.068,0.1912,0,0,0,0.971,High,0"
"624,2023-09-01 12:00:00,2023-09-01,12:00,12,0,Friday,4,9,2023,35,Monsoon,0,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,0,40,9,1,1,12,2,10,1,Poisoning,124.9,369.3,68.0,23.8,2.4,0.6,8,20,2,1,1,1,1,67.9,Low,22,1,28.6,70.9,Heavy Rain,1.3,1.25,0.849,0.782,1.312,1.186,1.344,1.064,1.249,1.343,0.1398,0,0,0,1.439,Overloaded,1"
"625,2023-09-02 03:00:00,2023-09-02,03:00,3,0,Saturday,5,9,2023,35,Monsoon,1,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,14,0,0,14,3,3,0,1,2,2,0,Cardiac Arrest,0.0,0.0,39.7,29.7,11.4,1.8,5,12,4,1,1,1,1,15.1,Medium,31,1,42.0,81.1,Cloudy,1.0,0.35,0.844,0.546,0.306,0.443,0.519,0.167,0.366,0.455,0.1769,0,0,0,0.313,Low,0"
"626,2023-09-03 20:00:00,2023-09-03,20:00,20,0,Sunday,6,9,2023,35,Monsoon,1,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,6,34,12,1,2,2,3,3,0,Respiratory Distress,80.4,189.1,118.7,24.1,6.6,0.6,7,16,6,0,1,1,1,37.8,Low,40,1,31.1,59.8,Rain,1.1,1.1,0.75,0.577,1.028,1.193,1.225,0.905,1.107,1.065,0.0611,0,0,0,1.124,Overloaded,1"
"627,2023-09-04 08:00:00,2023-09-04,08:00,8,0,Monday,0,9,2023,36,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,2,38,1,0,1,6,3,2,1,Road Accident,137.5,316.3,175.0,17.5,9.4,0.0,8,20,3,1,1,1,1,40.1,Full,14,1,25.1,79.7,Cloudy,1.0,1.0,0.955,0.635,1.066,1.085,0.908,0.894,1.05,1.055,0.1543,0,0,0,1.156,Overloaded,1"
"628,2023-09-05 15:00:00,2023-09-05,15:00,15,0,Tuesday,1,9,2023,36,Monsoon,0,0,Afternoon,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,6,34,6,2,2,8,1,0,2,Unknown/General,62.4,140.6,61.7,4.6,11.4,1.2,7,16,5,1,1,1,1,38.8,Full,5,1,25.1,88.1,Clear,1.0,1.0,0.749,0.659,0.958,1.025,0.914,0.97,0.994,1.045,0.1895,0,0,0,0.999,High,0"
"629,2023-09-06 17:00:00,2023-09-06,17:00,17,0,Wednesday,2,9,2023,36,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,5,35,3,12,0,6,4,3,1,Road Accident,97.7,282.0,107.8,22.5,6.8,7.2,7,16,3,0,1,0,1,62.3,Low,12,0,29.8,56.6,Rain,1.1,1.1,0.42,0.59,1.152,1.202,1.063,1.124,1.151,1.201,0.0392,0,0,0,0.99,High,0"
"630,2023-09-07 10:00:00,2023-09-07,10:00,10,0,Thursday,3,9,2023,36,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,5,35,10,11,0,13,3,6,1,Stroke,114.8,207.6,166.5,23.0,3.8,6.6,8,20,2,1,1,1,1,74.1,Medium,2,0,24.5,62.5,Clear,1.0,1.0,0.592,0.926,0.921,0.873,0.928,1.044,0.931,0.893,0.1298,0,0,0,0.883,High,0"
"631,2023-09-08 11:00:00,2023-09-08,11:00,11,0,Friday,4,9,2023,36,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,5,35,0,1,5,9,2,5,3,Road Accident,120.5,303.5,141.2,12.0,4.8,0.6,8,20,2,1,1,1,1,30.7,Medium,49,1,34.4,50.6,Cloudy,1.0,1.0,0.766,0.71,0.973,1.005,1.182,0.808,0.993,0.914,0.0308,0,0,0,0.935,High,0"
"632,2023-09-09 13:00:00,2023-09-09,13:00,13,0,Saturday,5,9,2023,36,Monsoon,1,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,1,39,1,11,4,2,3,6,2,Pediatric Emergency,139.6,379.9,59.6,18.2,2.9,6.6,8,20,4,1,1,1,1,76.6,Medium,10,1,29.0,71.5,Rain,1.1,1.1,0.548,0.813,1.035,1.092,0.993,1.052,1.076,1.182,0.0403,0,0,0,1.064,Overloaded,1"
"633,2023-09-10 03:00:00,2023-09-10,03:00,3,0,Sunday,6,9,2023,36,Monsoon,1,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,13,0,1,11,1,1,0,4,4,1,1,Cardiac Arrest,0.0,0.0,113.1,8.5,13.8,0.6,5,12,4,1,1,1,1,86.2,Low,9,1,40.6,61.7,Rain,1.1,0.325,0.603,0.54,0.358,0.276,0.349,0.424,0.32,0.385,0.139,0,0,0,0.323,Low,0"
"634,2023-09-11 13:00:00,2023-09-11,13:00,13,0,Monday,0,9,2023,37,Monsoon,0,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,5,35,7,5,2,2,3,1,2,Obstetric Emergency,73.1,204.0,125.5,21.2,8.5,3.0,8,20,1,0,1,1,1,65.2,Low,41,1,24.5,83.2,Heavy Rain,1.3,1.25,0.677,0.514,1.296,1.144,1.276,1.295,1.23,1.171,0.0339,0,0,0,1.329,Overloaded,1"
"635,2023-09-12 12:00:00,2023-09-12,12:00,12,0,Tuesday,1,9,2023,37,Monsoon,0,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,5,35,5,12,0,12,2,7,3,Unknown/General,138.9,246.7,63.8,20.3,12.9,7.2,8,20,6,1,1,1,1,68.4,Low,10,1,34.0,47.7,Rain,1.1,1.1,0.822,0.669,1.115,0.985,1.292,1.34,1.067,1.069,0.0989,0,0,0,1.011,Overloaded,1"
"636,2023-09-13 03:00:00,2023-09-13,03:00,3,0,Wednesday,2,9,2023,37,Monsoon,0,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,13,0,1,11,0,1,0,4,1,0,2,Cardiac Arrest,0.0,0.0,111.6,6.0,3.4,0.6,5,12,4,0,1,0,1,28.6,Medium,50,1,31.4,90.1,Rain,1.1,0.325,0.417,0.697,0.338,0.202,0.289,0.57,0.288,0.183,0.1521,0,0,0,0.354,Low,0"
"637,2023-09-14 18:00:00,2023-09-14,18:00,18,0,Thursday,3,9,2023,37,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,6,34,2,3,1,1,3,7,1,Road Accident,74.8,116.4,175.5,29.8,13.8,1.8,7,16,1,0,1,1,1,64.3,Full,18,1,27.7,77.7,Clear,1.0,1.0,0.826,0.825,0.956,1.098,1.018,1.096,1.018,0.877,0.0441,1,0,0,0.872,High,0"
"638,2023-09-15 20:00:00,2023-09-15,20:00,20,0,Friday,4,9,2023,37,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,1,39,1,2,4,5,2,8,2,Obstetric Emergency,104.6,296.3,161.1,29.9,4.7,1.2,7,16,2,0,1,1,1,17.5,Full,44,1,41.4,88.2,Clear,1.0,1.0,0.991,0.547,0.949,0.893,1.182,1.135,0.947,0.927,0.1723,0,0,0,1.163,Overloaded,1"
"639,2023-09-16 17:00:00,2023-09-16,17:00,17,0,Saturday,5,9,2023,37,Monsoon,1,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,0,40,10,12,3,8,5,1,2,Road Accident,62.9,103.0,132.3,6.6,8.9,7.2,7,16,6,0,1,1,1,73.7,Full,31,1,25.8,77.5,Clear,1.0,1.0,0.445,0.955,1.099,0.941,0.986,1.184,1.013,0.898,0.0662,0,0,0,1.176,Overloaded,1"
"640,2023-09-17 11:00:00,2023-09-17,11:00,11,0,Sunday,6,9,2023,37,Monsoon,1,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,2,38,13,3,4,1,2,3,2,Road Accident,60.5,95.4,108.7,19.1,7.6,1.8,8,20,6,0,0,1,1,87.8,Full,26,1,35.8,60.8,Rain,1.1,1.1,0.888,0.665,1.034,1.142,0.948,0.992,1.092,0.964,0.1997,0,0,0,1.208,Overloaded,1"
"641,2023-09-18 23:00:00,2023-09-18,23:00,23,0,Monday,0,9,2023,38,Monsoon,0,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,26,0,0,24,0,2,0,0,2,0,2,Road Accident,0.0,0.0,65.3,12.4,10.6,1.2,5,12,4,0,1,1,1,67.9,Medium,49,1,29.0,68.9,Rain,1.1,0.65,0.932,0.917,0.635,0.681,0.653,0.891,0.655,0.679,0.0613,0,0,0,0.776,High,0"
"642,2023-09-19 04:00:00,2023-09-19,04:00,4,0,Tuesday,1,9,2023,38,Monsoon,0,0,Night,0,0,1,H002,Govt Vellore Medical College,Tertiary,40,12,0,0,12,2,3,0,0,5,2,3,Cardiac Arrest,0.0,0.0,61.4,5.8,2.1,1.8,5,12,6,1,1,1,1,79.4,Medium,26,1,35.8,55.1,Cloudy,1.0,0.3,0.435,0.633,0.201,0.396,0.304,0.528,0.299,0.276,0.1952,0,0,0,0.274,Low,0"
"643,2023-09-20 17:00:00,2023-09-20,17:00,17,0,Wednesday,2,9,2023,38,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,40,18,3,37,13,2,1,9,4,4,0,Road Accident,99.1,148.8,37.8,5.5,11.4,1.2,7,16,5,0,1,1,1,25.7,Low,7,1,26.7,49.6,Cloudy,1.0,1.0,0.934,0.55,0.957,1.011,0.988,1.183,0.989,1.008,0.0496,0,0,0,0.975,High,0"
"644,2023-09-21 10:00:00,2023-09-21,10:00,10,0,Thursday,3,9,2023,38,Monsoon,0,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,44,18,6,34,14,2,1,14,4,0,0,Stroke,123.0,188.9,104.9,11.1,10.1,1.2,8,20,6,1,1,0,1,36.7,Full,19,1,35.5,91.5,Rain,1.1,1.1,0.6,0.872,1.191,1.117,0.916,1.23,1.136,1.107,0.1637,0,0,0,0.946,High,0"
"645,2023-09-22 20:00:00,2023-09-22,20:00,20,0,Friday,4,9,2023,38,Monsoon,0,0,Afternoon,0,1,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,3,37,13,12,3,7,3,8,0,Stroke,79.9,199.9,161.4,5.6,12.7,7.2,7,16,5,1,1,1,1,65.6,Low,28,1,40.7,52.3,Heavy Rain,1.3,1.25,0.951,0.617,1.194,1.203,1.443,1.28,1.216,1.313,0.1525,0,1,0,1.073,Overloaded,1"
"646,2023-09-23 10:00:00,2023-09-23,10:00,10,0,Saturday,5,9,2023,38,Monsoon,1,0,Morning,1,0,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,2,38,15,12,2,13,0,6,0,Cardiac Arrest,107.3,278.1,69.0,13.5,7.5,7.2,8,20,2,0,1,1,1,70.2,Medium,23,1,39.0,73.2,Heavy Rain,1.3,1.25,0.426,0.696,1.263,1.115,1.169,1.447,1.209,1.256,0.0545,0,0,0,1.413,Overloaded,1"
"647,2023-09-24 13:00:00,2023-09-24,13:00,13,0,Sunday,6,9,2023,38,Monsoon,1,0,Morning,0,0,0,H002,Govt Vellore Medical College,Tertiary,40,50,18,0,40,9,9,4,0,4,4,1,Cardiac Arrest,59.3,110.3,77.2,6.8,5.3,5.4,8,20,2,0,1,1,1,61.2,Full,49,0,26.9,73.7,Heavy Rain,1.3,1.25,0.448,0.848,1.209,1.19,1.36,1.249,1.216,1.373,0.0823,0,0,0,1.204,Overloaded,1"
